police_station,h3_cell,location_name,lat,lon,priority_rank,priority_score,CIS,predicted_risk,trend_direction,hotspot_status,recommended_shift,peak_hour,bpr_delay,violation_count,reasoning
Adugodi,89618925123ffff,Adugodi / Cell-23ffff,12.93257742425532,77.63155460404255,1,4.9,19.3,25.1,RISING,EMERGING,night_shift,2:00,0.07,470,Violations RISING — proactive enforcement needed
Adugodi,896189258dbffff,Adugodi / Cell-dbffff,12.94190218,77.61392946,2,4.8,22.0,22.0,STABLE,NOT_HOTSPOT,morning_shift,2:00,0.11,5,Standard priority zone
Adugodi,89618925e03ffff,Adugodi / Cell-03ffff,12.94771885,77.62249205,3,3.6,18.9,18.9,STABLE,NOT_HOTSPOT,morning_shift,12:00,0.11,2,Standard priority zone
Adugodi,89618925133ffff,Adugodi / Cell-33ffff,12.931012921100915,77.63294650550459,4,2.8,14.8,19.2,RISING,EMERGING,morning_shift,11:00,0.07,109,Violations RISING — proactive enforcement needed
Adugodi,896189258d3ffff,Adugodi / Cell-d3ffff,12.9401336,77.614233,5,2.8,18.8,15.0,UNKNOWN,NOT_HOTSPOT,night_shift,4:00,0.11,2,Standard priority zone
Ashok Nagar,89618925a4fffff,Ashok Nagar / Cell-4fffff,12.973437534375,77.6087324078125,1,9.2,26.6,34.6,RISING,EMERGING,morning_shift,10:00,0.11,256,Violations RISING — proactive enforcement needed
Ashok Nagar,89618925a23ffff,Ashok Nagar / Cell-23ffff,12.962185600683762,77.59880388239317,2,8.2,28.6,28.6,STABLE,EMERGING,night_shift,4:00,0.11,585,36 repeat offenders identified
Ashok Nagar,89618925a27ffff,Ashok Nagar / Cell-27ffff,12.962027366336631,77.59624987128713,3,7.0,26.5,26.5,STABLE,EMERGING,night_shift,3:00,0.11,303,25 repeat offenders identified
Ashok Nagar,89618925a2bffff,Ashok Nagar / Cell-2bffff,12.966906830555557,77.59962929027778,4,6.9,23.0,29.9,RISING,EMERGING,morning_shift,6:00,0.11,72,Violations RISING — proactive enforcement needed
Ashok Nagar,8961892584bffff,Ashok Nagar / Cell-4bffff,12.951586756862746,77.60757632254902,5,6.7,25.9,25.9,STABLE,EMERGING,morning_shift,10:00,0.07,102,8 repeat offenders identified
Banashankari,8960145a0afffff,Banashankari / Cell-afffff,12.934981424038462,77.53649808750001,1,9.2,30.3,30.3,STABLE,EMERGING,night_shift,2:00,0.11,208,20 repeat offenders identified
Banashankari,8960145a43bffff,Banashankari / Cell-3bffff,12.9262217,77.5546533,2,7.5,30.6,24.5,UNKNOWN,NOT_HOTSPOT,night_shift,3:00,0.11,1,Heavy vehicles dominant (HGV)
Banashankari,8960145a47bffff,Banashankari / Cell-7bffff,12.933995,77.5586917,3,7.5,30.6,24.5,UNKNOWN,NOT_HOTSPOT,night_shift,2:00,0.11,1,Heavy vehicles dominant (HGV)
Banashankari,8960145a01bffff,Banashankari / Cell-1bffff,12.942731,77.5466261,4,6.7,28.9,23.1,UNKNOWN,NOT_HOTSPOT,morning_shift,8:00,0.07,1,Heavy vehicles dominant (LORRY/GOODS VEHICLE) | Peak hour concentration (100%)
Banashankari,89618925933ffff,Banashankari / Cell-33ffff,12.9307753,77.5753485,5,6.5,28.5,22.8,UNKNOWN,NOT_HOTSPOT,morning_shift,9:00,0.11,1,Peak hour concentration (100%)
Banaswadi,8961892ec1bffff,Banaswadi / Cell-1bffff,12.979863108791209,77.65244215934067,1,13.4,36.6,36.6,STABLE,EMERGING,morning_shift,5:00,0.08,91,Standard priority zone
Banaswadi,8961892ee5bffff,Banaswadi / Cell-5bffff,13.0104198,77.6619719,2,13.2,40.6,32.5,UNKNOWN,NOT_HOTSPOT,morning_shift,9:00,0.11,1,Moderate congestion impact (CIS=41/100) | Heavy vehicles dominant (HGV) | Peak hour concentration (100%)
Banaswadi,8961892ee9bffff,Banaswadi / Cell-9bffff,12.993348765109891,77.66190939230769,3,6.2,21.9,28.4,RISING,EMERGING,morning_shift,14:00,0.05,364,Violations RISING — proactive enforcement needed
Banaswadi,8961892eebbffff,Banaswadi / Cell-bbffff,12.994837354545457,77.65338003636363,4,5.9,24.3,24.3,STABLE,CONFIRMED_HIGH,morning_shift,6:00,0.11,22,Standard priority zone
Banaswadi,8961892ea53ffff,Banaswadi / Cell-53ffff,13.021543171428572,77.64332305714287,5,5.5,20.6,26.8,RISING,NOT_HOTSPOT,morning_shift,7:00,0.11,7,Violations RISING — proactive enforcement needed
Basavanagudi,8960145a613ffff,Basavanagudi / Cell-13ffff,12.946417038636362,77.567263575,1,8.2,25.1,32.6,RISING,EMERGING,morning_shift,6:00,0.11,44,Violations RISING — proactive enforcement needed
Basavanagudi,8960145a6d7ffff,Basavanagudi / Cell-d7ffff,12.94499097727246,77.57153613077891,2,5.3,23.0,23.0,STABLE,EMERGING,morning_shift,10:00,0.07,809,Standard priority zone
Basavanagudi,8960145a44fffff,Basavanagudi / Cell-4fffff,12.935836440872842,77.5614247333344,3,4.9,19.4,25.2,RISING,NOT_HOTSPOT,night_shift,4:00,0.11,5,Violations RISING — proactive enforcement needed
Basavanagudi,8960145a673ffff,Basavanagudi / Cell-73ffff,12.9553469,77.5640915,4,4.8,24.6,19.6,UNKNOWN,NOT_HOTSPOT,night_shift,2:00,0.11,1,Heavy vehicles dominant (LGV)
Basavanagudi,8960145a447ffff,Basavanagudi / Cell-47ffff,12.9339983,77.562245,5,4.2,22.9,18.3,UNKNOWN,NOT_HOTSPOT,morning_shift,9:00,0.07,1,Peak hour concentration (100%)
Bellandur,8961892540bffff,Bellandur / Cell-0bffff,12.928255958641977,77.6795646919753,1,8.7,25.9,33.7,RISING,EMERGING,night_shift,5:00,0.11,162,Violations RISING — proactive enforcement needed
Bellandur,8961892541bffff,Bellandur / Cell-1bffff,12.9275037623612,77.68030899995685,2,7.0,23.2,30.2,RISING,EMERGING,night_shift,2:00,0.07,674,Violations RISING — proactive enforcement needed
Bellandur,8961892722fffff,Bellandur / Cell-2fffff,12.91180195,77.68264719999999,3,6.7,25.9,25.9,STABLE,NOT_HOTSPOT,morning_shift,9:00,0.11,2,Standard priority zone
Bellandur,89618925403ffff,Bellandur / Cell-03ffff,12.926476164013756,77.6776153572044,4,6.2,21.8,28.3,RISING,EMERGING,night_shift,2:00,0.07,651,Violations RISING — proactive enforcement needed
Bellandur,896189254a3ffff,Bellandur / Cell-a3ffff,12.91720723099466,77.67291599476744,5,6.0,24.4,24.4,STABLE,EMERGING,morning_shift,10:00,0.11,86,Standard priority zone
Byatarayanapura,8960145a3d3ffff,Byatarayanapura / Cell-d3ffff,12.95318006,77.53689899999999,1,7.0,23.3,30.2,RISING,NOT_HOTSPOT,night_shift,3:00,0.11,5,Violations RISING — proactive enforcement needed
Byatarayanapura,8960145a077ffff,Byatarayanapura / Cell-77ffff,12.9466217,77.5389167,2,6.5,28.5,22.8,UNKNOWN,NOT_HOTSPOT,morning_shift,9:00,0.11,1,Peak hour concentration (100%)
Byatarayanapura,8960145a347ffff,Byatarayanapura / Cell-47ffff,12.96114855801211,77.52793148947134,3,5.6,20.7,26.9,RISING,EMERGING,morning_shift,10:00,0.11,22,Violations RISING — proactive enforcement needed
Byatarayanapura,8960145a3a3ffff,Byatarayanapura / Cell-a3ffff,12.949433305,77.52283738333334,4,4.8,19.3,25.1,RISING,EMERGING,morning_shift,4:00,0.07,60,Violations RISING — proactive enforcement needed | Heavy vehicles dominant (CAR)
Byatarayanapura,8960145a10bffff,Byatarayanapura / Cell-0bffff,12.938425700000002,77.52266469999999,5,4.6,18.7,24.4,RISING,EMERGING,morning_shift,6:00,0.11,3,Violations RISING — proactive enforcement needed
Chamarajpet,8960145a66fffff,Chamarajpet / Cell-6fffff,12.95888933846154,77.55869745769232,1,9.1,26.5,34.4,RISING,NOT_HOTSPOT,morning_shift,8:00,0.11,26,Violations RISING — proactive enforcement needed
Chamarajpet,8960145b5a7ffff,Chamarajpet / Cell-a7ffff,12.961629562962962,77.56122198148148,2,6.9,23.1,30.0,RISING,EMERGING,night_shift,3:00,0.11,27,Violations RISING — proactive enforcement needed
Chamarajpet,8960145b58bffff,Chamarajpet / Cell-8bffff,12.967025060579244,77.57429651681416,3,4.5,25.3,17.7,FALLING,CONFIRMED_HIGH,morning_shift,11:00,0.07,1243,Violations declining — maintain presence | 17 repeat offenders identified
Chamarajpet,8960145a663ffff,Chamarajpet / Cell-63ffff,12.95746248,77.56060252,4,3.5,18.8,18.8,STABLE,NOT_HOTSPOT,night_shift,1:00,0.07,5,Heavy vehicles dominant (PRIVATE BUS)
Chamarajpet,8960145a2d3ffff,Chamarajpet / Cell-d3ffff,12.96127958235294,77.55915759019608,5,3.4,22.2,15.5,FALLING,EMERGING,night_shift,3:00,0.11,51,Violations declining — maintain presence
Chikkabanavara,89601696d2bffff,Chikkabanavara / Cell-2bffff,13.0797,77.5033583,1,3.5,20.9,16.7,UNKNOWN,NOT_HOTSPOT,night_shift,3:00,0.07,1,Heavy vehicles dominant (HGV)
Chikkabanavara,89601459853ffff,Chikkabanavara / Cell-53ffff,13.050829228571429,77.49312276190476,2,2.9,15.0,19.6,RISING,NOT_HOTSPOT,morning_shift,12:00,0.07,21,Violations RISING — proactive enforcement needed
Chikkabanavara,89601459ea3ffff,Chikkabanavara / Cell-a3ffff,13.04635937,77.50407767,3,2.6,16.2,16.2,STABLE,NOT_HOTSPOT,night_shift,2:00,0.07,10,Heavy vehicles dominant (CAR)
Chikkabanavara,8960145986fffff,Chikkabanavara / Cell-6fffff,13.054678719999998,77.48051644,4,2.6,18.1,14.5,UNKNOWN,EMERGING,morning_shift,12:00,0.07,5,Heavy vehicles dominant (HGV)
Chikkabanavara,89601459173ffff,Chikkabanavara / Cell-73ffff,13.045321814252013,77.52177672954267,5,2.3,18.3,12.8,FALLING,NOT_HOTSPOT,morning_shift,12:00,0.11,15,Violations declining — maintain presence
Chikkajala,89601690193ffff,Chikkajala / Cell-93ffff,13.185352477922684,77.67996324876572,1,16.6,35.8,46.5,RISING,CONFIRMED_HIGH,night_shift,5:00,0.07,2147,Violations RISING — proactive enforcement needed | 11 repeat offenders identified
Chikkajala,8960169052fffff,Chikkajala / Cell-2fffff,13.18375014028918,77.67972563995335,2,10.8,28.8,37.4,RISING,CONFIRMED_HIGH,morning_shift,13:00,0.07,1072,Violations RISING — proactive enforcement needed
Chikkajala,8960169052bffff,Chikkajala / Cell-2bffff,13.183517774375,77.68287659687499,3,4.7,25.9,18.1,FALLING,CONFIRMED_HIGH,night_shift,4:00,0.07,160,Violations declining — maintain presence
Chikkajala,89601690577ffff,Chikkajala / Cell-77ffff,13.184080148360655,77.68632500983607,4,4.7,21.6,21.6,STABLE,CONFIRMED_HIGH,night_shift,3:00,0.07,122,Standard priority zone
Chikkajala,89601690573ffff,Chikkajala / Cell-73ffff,13.184133977142858,77.68904630571429,5,4.5,18.6,24.2,RISING,CONFIRMED,night_shift,5:00,0.07,35,Violations RISING — proactive enforcement needed
City Market,8960145b59bffff,City Market / Cell-9bffff,12.964325973798909,77.5766394656652,1,20.9,40.1,52.1,RISING,CONFIRMED_HIGH,night_shift,0:00,0.06,7201,Moderate congestion impact (CIS=40/100) | Violations RISING — proactive enforcement needed | 148 repeat offenders identified
City Market,89618925b77ffff,City Market / Cell-77ffff,12.960439721052632,77.57993221315789,2,11.8,30.2,39.2,RISING,EMERGING,night_shift,2:00,0.11,38,Violations RISING — proactive enforcement needed
City Market,8960145b5c7ffff,City Market / Cell-c7ffff,12.969680496701766,77.5755142169879,3,9.6,27.1,35.3,RISING,CONFIRMED_HIGH,morning_shift,9:00,0.07,1949,Violations RISING — proactive enforcement needed | 51 repeat offenders identified
City Market,89618925b3bffff,City Market / Cell-3bffff,12.957287413580248,77.5809958808642,4,7.7,24.4,31.7,RISING,EMERGING,morning_shift,8:00,0.11,162,Violations RISING — proactive enforcement needed
City Market,89618925b2bffff,City Market / Cell-2bffff,12.959362607658452,77.57736234947184,5,7.2,26.9,26.9,STABLE,CONFIRMED_HIGH,morning_shift,11:00,0.07,1136,28 repeat offenders identified
Cubbon Park,8960145b49bffff,Cubbon Park / Cell-9bffff,12.97138355269231,77.59759996884615,1,6.7,30.9,21.6,FALLING,EMERGING,morning_shift,11:00,0.11,780,Violations declining — maintain presence | 8 repeat offenders identified
Cubbon Park,8960145b4c7ffff,Cubbon Park / Cell-c7ffff,12.9785358,77.5964649,2,4.8,24.6,19.6,UNKNOWN,NOT_HOTSPOT,night_shift,1:00,0.11,1,Heavy vehicles dominant (LGV)
Cubbon Park,8961892e9a7ffff,Cubbon Park / Cell-a7ffff,12.9760345,77.6045404,3,4.8,22.0,22.0,STABLE,NOT_HOTSPOT,morning_shift,8:00,0.07,2,Peak hour concentration (100%)
Cubbon Park,8960145b413ffff,Cubbon Park / Cell-13ffff,12.977292533333332,77.5918696,4,3.2,21.5,15.0,FALLING,NOT_HOTSPOT,night_shift,2:00,0.11,12,Violations declining — maintain presence
Cubbon Park,89618925a6bffff,Cubbon Park / Cell-6bffff,12.974767678640776,77.60369202135922,5,3.2,21.5,15.0,FALLING,EMERGING,morning_shift,12:00,0.11,103,Violations declining — maintain presence
Devanahalli Airport,89601690267ffff,Devanahalli Airport / Cell-67ffff,13.2302231,77.6933171,1,7.6,30.9,24.7,UNKNOWN,NOT_HOTSPOT,morning_shift,7:00,0.11,2,Heavy vehicles dominant (PRIVATE BUS)
Devanahalli Airport,89601690153ffff,Devanahalli Airport / Cell-53ffff,13.199676966666669,77.67960893333334,2,4.6,18.7,24.4,RISING,NOT_HOTSPOT,morning_shift,11:00,0.11,3,Violations RISING — proactive enforcement needed
Devanahalli Airport,89601690463ffff,Devanahalli Airport / Cell-63ffff,13.195628725,77.708266125,3,3.7,16.8,21.8,RISING,NOT_HOTSPOT,morning_shift,9:00,0.07,4,Violations RISING — proactive enforcement needed | Peak hour concentration (75%)
Devanahalli Airport,896016913d3ffff,Devanahalli Airport / Cell-d3ffff,13.266818,77.7192361,4,3.5,20.9,16.7,UNKNOWN,NOT_HOTSPOT,night_shift,5:00,0.07,1,Heavy vehicles dominant (HGV)
Devanahalli Airport,8960169019bffff,Devanahalli Airport / Cell-9bffff,13.18847696148148,77.68048121185184,5,3.4,22.1,15.5,FALLING,CONFIRMED_HIGH,night_shift,4:00,0.07,540,Violations declining — maintain presence
Electronic City,89618926397ffff,Electronic City / Cell-97ffff,12.84177233462322,77.64658491751528,1,29.5,47.6,61.9,RISING,EMERGING,morning_shift,12:00,0.07,982,Moderate congestion impact (CIS=48/100) | Violations RISING — proactive enforcement needed | 10 repeat offenders identified
Electronic City,8961892447bffff,Electronic City / Cell-7bffff,12.880975567604846,77.64547037230525,2,7.2,26.8,26.8,STABLE,CONFIRMED_HIGH,night_shift,3:00,0.08,47,Standard priority zone
Electronic City,8961892442bffff,Electronic City / Cell-2bffff,12.87579271,77.6396006,3,6.0,21.6,28.0,RISING,EMERGING,night_shift,3:00,0.07,10,Violations RISING — proactive enforcement needed | Heavy vehicles dominant (LORRY/GOODS VEHICLE)
Electronic City,896189246b3ffff,Electronic City / Cell-b3ffff,12.887121715768629,77.64969296729878,4,6.0,27.3,21.8,UNKNOWN,EMERGING,morning_shift,11:00,0.11,19,Standard priority zone
Electronic City,8961892444fffff,Electronic City / Cell-4fffff,12.882585376823467,77.64971734883105,5,5.7,26.6,21.3,UNKNOWN,CONFIRMED_HIGH,night_shift,4:00,0.11,14,Heavy vehicles dominant (CAR)
HAL Old Airport,89618920a23ffff,HAL Old Airport / Cell-23ffff,12.963164781012658,77.71726383607594,1,28.1,53.0,53.0,STABLE,CONFIRMED_HIGH,night_shift,5:00,0.06,474,Moderate congestion impact (CIS=53/100) | 6 repeat offenders identified
HAL Old Airport,89618920923ffff,HAL Old Airport / Cell-23ffff,12.933533961012982,77.69099198268742,2,26.4,45.0,58.5,RISING,EMERGING,morning_shift,4:00,0.06,5627,Moderate congestion impact (CIS=45/100) | Violations RISING — proactive enforcement needed | 523 repeat offenders identified
HAL Old Airport,89618920a3bffff,HAL Old Airport / Cell-3bffff,12.964684696255508,77.71824643722468,3,10.7,32.7,32.7,STABLE,CONFIRMED_HIGH,night_shift,10:00,0.06,454,Standard priority zone
HAL Old Airport,896189209cbffff,HAL Old Airport / Cell-cbffff,12.9360021,77.7067542,4,9.6,34.6,27.7,UNKNOWN,NOT_HOTSPOT,night_shift,0:00,0.11,1,Heavy vehicles dominant (TANKER)
HAL Old Airport,89618920b5bffff,HAL Old Airport / Cell-5bffff,12.9636852,77.7108637,5,9.6,34.6,27.6,UNKNOWN,EMERGING,morning_shift,8:00,0.11,1,Heavy vehicles dominant (LGV) | Peak hour concentration (100%)
HSR Layout,8961892429bffff,HSR Layout / Cell-9bffff,12.903515704166669,77.64208810625,1,11.4,33.8,33.8,STABLE,EMERGING,morning_shift,10:00,0.08,48,Heavy vehicles dominant (LGV) | Peak hour concentration (75%) | 7 repeat offenders identified
HSR Layout,89618924293ffff,HSR Layout / Cell-93ffff,12.90246982548289,77.64125450219566,2,9.6,34.6,27.7,UNKNOWN,NOT_HOTSPOT,morning_shift,12:00,0.11,1,Heavy vehicles dominant (TANKER)
HSR Layout,8961892421bffff,HSR Layout / Cell-1bffff,12.91170517008547,77.63809602720798,3,8.1,24.9,32.4,RISING,EMERGING,morning_shift,10:00,0.07,702,Violations RISING — proactive enforcement needed | 16 repeat offenders identified
HSR Layout,89618924253ffff,HSR Layout / Cell-53ffff,12.9152393,77.6429504,4,6.5,28.5,22.8,UNKNOWN,NOT_HOTSPOT,morning_shift,10:00,0.11,1,Peak hour concentration (100%)
HSR Layout,89618924203ffff,HSR Layout / Cell-03ffff,12.912431544411628,77.63544882107176,5,5.9,21.4,27.8,RISING,EMERGING,morning_shift,14:00,0.07,450,Violations RISING — proactive enforcement needed
Halasur,8961892ed1bffff,Halasur / Cell-1bffff,12.971818846666666,77.63049959833333,1,6.0,21.6,28.0,RISING,EMERGING,morning_shift,12:00,0.11,60,Violations RISING — proactive enforcement needed
Halasur,8961892ed2bffff,Halasur / Cell-2bffff,12.974010762730524,77.62037034130408,2,5.1,19.8,25.7,RISING,EMERGING,morning_shift,4:00,0.07,379,Violations RISING — proactive enforcement needed
Halasur,8961892edabffff,Halasur / Cell-abffff,12.9658486,77.6257442,3,5.0,24.9,19.9,UNKNOWN,NOT_HOTSPOT,morning_shift,10:00,0.07,1,Heavy vehicles dominant (TEMPO) | Peak hour concentration (100%)
Halasur,8961892ed37ffff,Halasur / Cell-37ffff,12.969066022222222,77.6197175111111,4,4.8,19.1,24.9,RISING,EMERGING,night_shift,0:00,0.07,9,Violations RISING — proactive enforcement needed | Heavy vehicles dominant (HGV)
Halasur,8961892ed27ffff,Halasur / Cell-27ffff,12.970281624,77.616670744,5,4.7,21.6,21.6,STABLE,EMERGING,night_shift,4:00,0.11,25,Standard priority zone
Halasuru Gate,89618925b7bffff,Halasuru Gate / Cell-7bffff,12.96462529801623,77.5841122660054,1,8.3,28.8,28.8,STABLE,EMERGING,morning_shift,10:00,0.07,2218,12 repeat offenders identified
Halasuru Gate,8960145b4b7ffff,Halasuru Gate / Cell-b7ffff,12.968021816417911,77.58575714925374,2,8.2,28.7,28.7,STABLE,EMERGING,morning_shift,8:00,0.11,134,Standard priority zone
Halasuru Gate,89618925b6bffff,Halasuru Gate / Cell-6bffff,12.966109262962965,77.58201920740741,3,8.1,28.4,28.4,STABLE,EMERGING,morning_shift,7:00,0.11,108,Standard priority zone
Halasuru Gate,8960145b4b3ffff,Halasuru Gate / Cell-b3ffff,12.968011342463113,77.58854629720456,4,6.6,25.7,25.7,STABLE,EMERGING,night_shift,4:00,0.11,380,Standard priority zone
Halasuru Gate,89618925b5bffff,Halasuru Gate / Cell-5bffff,12.9654393,77.592601375,5,5.8,24.0,24.0,STABLE,NOT_HOTSPOT,night_shift,4:00,0.11,4,Heavy vehicles dominant (LGV)
Hebbala,8961892c9d7ffff,Hebbala / Cell-d7ffff,13.035421988519449,77.58909947572145,1,11.2,33.4,33.4,STABLE,EMERGING,morning_shift,4:00,0.07,1594,30 repeat offenders identified
